fn,dim,system,window,conditional,run,popnSize,winner,evals,good_count,bad_count,bestFit
ackley,five,dualcenter,euw,no,1,8,dualcenter,504,35,29,0.00981241
ackley,five,dualcenter,euw,no,2,8,normal,504,34,30,0.024242656
ackley,five,dualcenter,euw,no,3,8,dualcenter,504,24,40,0.012631194
ackley,five,dualcenter,euw,no,4,8,dualcenter,504,32,32,0.011200304
ackley,five,dualcenter,euw,no,5,8,dualcenter,504,29,35,0.009433184
ackley,five,dualcenter,euw,no,6,8,normal,504,35,29,0.014970451
ackley,five,dualcenter,euw,no,7,8,dualcenter,504,39,25,0.00776992
ackley,five,dualcenter,euw,no,8,8,dualcenter,504,36,28,0.00794811
ackley,five,dualcenter,euw,no,9,8,normal,504,38,26,0.016742213
ackley,five,dualcenter,euw,no,10,8,normal,504,35,29,0.011397372
ackley,five,dualcenter,euw,no,11,8,dualcenter,504,37,27,0.006771958
ackley,five,dualcenter,euw,no,12,8,normal,504,38,26,0.015951018
ackley,five,dualcenter,euw,no,13,8,dualcenter,504,33,31,0.006441661
ackley,five,dualcenter,euw,no,14,8,normal,504,32,32,0.010352378
ackley,five,dualcenter,euw,no,15,8,normal,504,33,31,0.009923515
ackley,five,dualcenter,euw,no,16,8,dualcenter,504,33,31,0.005214314
ackley,five,dualcenter,euw,no,17,8,dualcenter,504,38,26,0.01134897
ackley,five,dualcenter,euw,no,18,8,dualcenter,504,32,32,0.019779275
ackley,five,dualcenter,euw,no,19,8,dualcenter,504,32,32,0.009979225
ackley,five,dualcenter,euw,no,20,8,dualcenter,504,37,27,0.019932382
ackley,five,dualcenter,euw,no,21,8,normal,504,38,26,0.012724858
ackley,five,dualcenter,euw,no,22,8,dualcenter,504,39,25,0.011109038
ackley,five,dualcenter,euw,no,23,8,normal,504,29,35,0.00902759
ackley,five,dualcenter,euw,no,24,8,dualcenter,504,32,32,0.007105717
ackley,five,dualcenter,euw,no,25,8,dualcenter,504,34,30,0.010154894
ackley,five,dualcenter,euw,no,26,8,dualcenter,504,30,34,0.00759033
ackley,five,dualcenter,euw,no,27,8,dualcenter,504,36,28,0.019949345
ackley,five,dualcenter,euw,no,28,8,dualcenter,504,35,29,0.008867151
ackley,five,dualcenter,euw,no,29,8,normal,504,42,22,0.011965403
ackley,five,dualcenter,euw,no,30,8,dualcenter,504,39,25,0.009381493
ackley,five,dualcenter,euw,no,31,8,dualcenter,504,36,28,0.005354803
ackley,five,dualcenter,euw,no,32,8,dualcenter,504,29,35,0.00647226
ackley,five,dualcenter,euw,no,33,8,normal,504,39,25,0.017263823
ackley,five,dualcenter,euw,no,34,8,dualcenter,504,37,27,0.013238634
ackley,five,dualcenter,euw,no,35,8,dualcenter,504,37,27,0.006248215
ackley,five,dualcenter,euw,no,36,8,dualcenter,504,36,28,0.00706879
ackley,five,dualcenter,euw,no,37,8,normal,504,34,30,0.006208858
ackley,five,dualcenter,euw,no,38,8,normal,504,34,30,0.01009441
ackley,five,dualcenter,euw,no,39,8,normal,504,33,31,0.009564878
ackley,five,dualcenter,euw,no,40,8,dualcenter,504,29,35,0.004766808
ackley,five,dualcenter,euw,no,41,8,normal,504,36,28,0.020643379
ackley,five,dualcenter,euw,no,42,8,dualcenter,504,39,25,0.005092359
ackley,five,dualcenter,euw,no,43,8,normal,504,29,35,0.018008171
ackley,five,dualcenter,euw,no,44,8,normal,504,40,24,0.016486728
ackley,five,dualcenter,euw,no,45,8,dualcenter,504,37,27,0.009662486
ackley,five,dualcenter,euw,no,46,8,dualcenter,504,41,23,0.008919634
ackley,five,dualcenter,euw,no,47,8,normal,504,32,32,0.010945485
ackley,five,dualcenter,euw,no,48,8,dualcenter,504,32,32,0.005487211
ackley,five,dualcenter,euw,no,49,8,normal,504,37,27,0.013796706
ackley,five,dualcenter,euw,no,50,8,dualcenter,504,35,29,0.006382736
